Sentence1,Sentence2,Label
Natural language processing powers virtual assistants.,Natural language processing powers virtual assistants.,1
Robots are becoming more intelligent with AI.,The moon is made of cheese.,0
Predictive analytics saves time and money.,The best way to write code is with no errors.,0
Machine learning models are improving daily.,The best way to write code is with no errors.,0
Self-driving cars use deep learning.,The Earth is flat according to some people.,0
AI chatbots are getting smarter.,Self-driving cars use deep learning.,1
AI chatbots are getting smarter.,Birds can swim in the ocean.,0
Quantum computing will revolutionize security.,Mars has the same atmosphere as Earth.,0
Natural language processing powers virtual assistants.,Natural language processing powers virtual assistants.,1
Natural language processing powers virtual assistants.,Robots are becoming more intelligent with AI.,1
AI chatbots are getting smarter.,Cats are better than dogs in racing.,0
AI chatbots are getting smarter.,Mars has the same atmosphere as Earth.,0
AI helps in wildlife conservation.,The moon is made of cheese.,0
Predictive analytics saves time and money.,The best way to write code is with no errors.,0
Predictive analytics saves time and money.,Self-driving cars use deep learning.,1
Robots are becoming more intelligent with AI.,Artificial intelligence is revolutionizing healthcare.,1
AI helps in wildlife conservation.,The moon is made of cheese.,0
Quantum computing will revolutionize security.,Natural language processing powers virtual assistants.,1
Quantum computing will revolutionize security.,Pineapples belong on pizza.,0
AI helps in wildlife conservation.,Quantum computing will revolutionize security.,1
Predictive analytics saves time and money.,Machine learning models are improving daily.,1
AI chatbots are getting smarter.,AI chatbots are getting smarter.,1
AI chatbots are getting smarter.,Smart homes rely on IoT and AI.,1
Robots are becoming more intelligent with AI.,Quantum computing will revolutionize security.,1
Machine learning models are improving daily.,Robots are becoming more intelligent with AI.,1
AI helps in wildlife conservation.,Machine learning models are improving daily.,1
Machine learning models are improving daily.,The moon is made of cheese.,0
Machine learning models are improving daily.,The best way to write code is with no errors.,0
Smart homes rely on IoT and AI.,AI helps in wildlife conservation.,1
Artificial intelligence is revolutionizing healthcare.,Quantum computing will revolutionize security.,1
Quantum computing will revolutionize security.,Machine learning models are improving daily.,1
Predictive analytics saves time and money.,I prefer rainy days over sunny days.,0
AI chatbots are getting smarter.,Cats are better than dogs in racing.,0
Robots are becoming more intelligent with AI.,AI helps in wildlife conservation.,1
Self-driving cars use deep learning.,Smart homes rely on IoT and AI.,1
Smart homes rely on IoT and AI.,The Earth is flat according to some people.,0
Machine learning models are improving daily.,Machine learning models are improving daily.,1
Predictive analytics saves time and money.,The moon is made of cheese.,0
Predictive analytics saves time and money.,Predictive analytics saves time and money.,1
Natural language processing powers virtual assistants.,Winter is hotter than summer.,0
AI helps in wildlife conservation.,Mars has the same atmosphere as Earth.,0
Self-driving cars use deep learning.,The best way to write code is with no errors.,0
Natural language processing powers virtual assistants.,The Earth is flat according to some people.,0
Quantum computing will revolutionize security.,I prefer rainy days over sunny days.,0
Robots are becoming more intelligent with AI.,Mars has the same atmosphere as Earth.,0
Smart homes rely on IoT and AI.,Pineapples belong on pizza.,0
Machine learning models are improving daily.,Robots are becoming more intelligent with AI.,1
Predictive analytics saves time and money.,AI helps in wildlife conservation.,1
Artificial intelligence is revolutionizing healthcare.,Mars has the same atmosphere as Earth.,0
Quantum computing will revolutionize security.,Mars has the same atmosphere as Earth.,0
Self-driving cars use deep learning.,AI chatbots are getting smarter.,1
AI chatbots are getting smarter.,The Earth is flat according to some people.,0
Predictive analytics saves time and money.,Birds can swim in the ocean.,0
Natural language processing powers virtual assistants.,I prefer rainy days over sunny days.,0
Artificial intelligence is revolutionizing healthcare.,The moon is made of cheese.,0
Quantum computing will revolutionize security.,Artificial intelligence is revolutionizing healthcare.,1
AI chatbots are getting smarter.,The best way to write code is with no errors.,0
Self-driving cars use deep learning.,Cats are better than dogs in racing.,0
Artificial intelligence is revolutionizing healthcare.,Natural language processing powers virtual assistants.,1
Natural language processing powers virtual assistants.,Predictive analytics saves time and money.,1
Natural language processing powers virtual assistants.,Predictive analytics saves time and money.,1
Robots are becoming more intelligent with AI.,Cats are better than dogs in racing.,0
